Name,ISIN,Stock Market,Regulator 
Africa Oil,CA00829Q1019,Nasdaq Stockholm ,FIS
Etrion,CA29786T1057,Nasdaq Stockholm ,FIS
International Petroleum Corp.,CA46016U1084,Nasdaq Stockholm ,FIS
Josemaria Resources,CA48086P1009,Nasdaq Stockholm ,FIS
Lucara Diamond Corp,CA54928Q1081,Nasdaq Stockholm ,FIS
Lundin Gold,CA5503711080,Nasdaq Stockholm ,FIS
Lundin Mining Corporation,CA5503721063,Nasdaq Stockholm ,FIS
ABB Ltd,CH0012221716,Nasdaq Stockholm ,FIS
Cavotec,CH0136071542,Nasdaq Stockholm ,FIS
Fenix Outdoor International B,CH0242214887,Nasdaq Stockholm ,FIS
TRATON,DE000TRAT0N7,Nasdaq Stockholm ,FIS
Better Collective,DK0060952240,Nasdaq Stockholm ,FIS
TietoEVRY Oyj,FI0009000277,Nasdaq Stockholm ,FIS
Stora Enso A,FI0009007603,Nasdaq Stockholm ,FIS
Stora Enso R,FI0009007611,Nasdaq Stockholm ,FIS
Ahlstrom-Munksjö Oyj,FI4000048418,Nasdaq Stockholm ,FIS
Nordea Bank Abp,FI4000297767,Nasdaq Stockholm ,FIS
Adapteo,FI4000383898,Nasdaq Stockholm ,FIS
EnQuest PLC,GB00B635TG28,Nasdaq Stockholm ,FIS
AstraZeneca,GB0009895292,Nasdaq Stockholm ,FIS
Catena Media,MT0001000109,Nasdaq Stockholm ,FIS
Arctic Paper,PLARTPR00012,Nasdaq Stockholm ,FIS
Bergs Timber B,SE0000101297,Nasdaq Stockholm ,FIS
Bergman & Beving B,SE0000101362,Nasdaq Stockholm ,FIS
Concordia Maritime B,SE0000102824,Nasdaq Stockholm ,FIS
Hexagon B,SE0000103699,Nasdaq Stockholm ,FIS
Electrolux A,SE0000103806,Nasdaq Stockholm ,FIS
Electrolux B,SE0000103814,Nasdaq Stockholm ,FIS
Haldex,SE0000105199,Nasdaq Stockholm ,FIS
Peab B,SE0000106205,Nasdaq Stockholm ,FIS
